site, x, y, z
344,0,4,-2
345,0,5,-2
346,0,5,-1
347,-5.19615,-3,-1
348,-4.33013,-1.5,0
349,-4.33013,-0.5,0
350,-4.33013,-0.5,1
351,-4.33013,0.5,1
352,-4.33013,0.5,2
353,-4.33013,1.5,2
354,0.866025,4.5,-3
355,-4.33013,2.5,3
356,0.866025,5.5,-2
357,-4.33013,-2.5,-2
358,-4.33013,-2.5,-1
359,-4.33013,-1.5,-1
360,-1.73205,0,0
361,-1.73205,1,0
362,-1.73205,1,1
363,-1.73205,2,1
364,-1.73205,2,2
365,-1.73205,3,2
366,-1.73205,-3,-3
367,-1.73205,-2,-3
368,-1.73205,-2,-2
369,-1.73205,-1,-2
370,-1.73205,-1,-1
371,-1.73205,0,-1
372,-0.866025,1.5,0
373,-0.866025,2.5,0
374,-0.866025,2.5,1
375,-0.866025,3.5,1
376,-0.866025,3.5,2
377,-0.866025,-1.5,-4
378,-0.866025,-1.5,-3
379,-0.866025,-0.5,-3
380,-0.866025,-0.5,-2
381,-0.866025,0.5,-2
382,-0.866025,0.5,-1
383,-0.866025,1.5,-1
384,-1.77636e-15,3,0
385,-1.77636e-15,4,0
386,-1.77636e-15,4,1
387,-1.77636e-15,-1,-5
388,-1.77636e-15,-1,-4
389,-1.77636e-15,0,-4
390,-1.77636e-15,0,-3
391,-1.77636e-15,1,-3
392,-1.77636e-15,1,-2
393,-1.77636e-15,2,-2
394,-1.77636e-15,2,-1
395,-1.77636e-15,3,-1
396,0.866025,4.5,0
397,0.866025,5.5,0
398,0.866025,-0.5,-5
399,0.866025,0.5,-5
400,0.866025,0.5,-4
401,0.866025,1.5,-4
402,0.866025,1.5,-3
403,0.866025,2.5,-3
404,0.866025,2.5,-2
405,0.866025,3.5,-2
406,0.866025,3.5,-1
407,0.866025,4.5,-1
408,-3.4641,-3,0
409,-3.4641,-2,0
410,-3.4641,-2,1
411,-3.4641,-1,1
412,-3.4641,-1,2
413,-3.4641,0,2
414,1.73205,3,-3
415,-3.4641,1,3
416,1.73205,4,-2
417,1.73205,5,-2
418,1.73205,5,-1
419,-3.4641,-3,-1
420,-2.59808,-1.5,0
421,-2.59808,-0.5,0
422,-2.59808,-0.5,1
423,-2.59808,0.5,1
424,-2.59808,0.5,2
425,-2.59808,1.5,2
426,-2.59808,1.5,3
427,-2.59808,2.5,3
428,-2.59808,-3.5,-2
429,-2.59808,-2.5,-2
430,-2.59808,-2.5,-1
431,-2.59808,-1.5,-1
